weeks,rep,E_obs,L_obs,P_obs,A_obs,DA,time,cpa
338,2,0,239,0,3,NA,169,0.35
340,2,0,12,227,0,NA,170,0.35
342,2,0,0,10,227,NA,171,0.35
344,2,0,133,0,9,NA,172,0.35
346,2,0,4,109,0,NA,173,0.35
348,2,0,0,2,109,NA,174,0.35
350,2,0,267,0,4,NA,175,0.35
352,2,0,3,209,0,NA,176,0.35
354,2,0,0,3,209,NA,177,0.35
356,2,0,46,0,8,NA,178,0.35
358,2,0,63,39,0,NA,179,0.35
360,2,0,0,61,39,NA,180,0.35
362,2,0,212,0,2,NA,181,0.35
364,2,0,3,188,0,NA,182,0.35
366,2,0,0,3,188,NA,183,0.35
368,2,0,88,0,8,NA,184,0.35
370,2,0,15,79,0,NA,185,0.35
372,2,0,0,14,79,NA,186,0.35
374,2,0,359,0,3,NA,187,0.35
376,2,0,13,333,0,NA,188,0.35
378,2,0,0,8,333,NA,189,0.35
380,2,0,32,0,13,NA,190,0.35
382,2,0,57,28,1,NA,191,0.35
384,2,0,6,47,20,NA,192,0.35
386,2,0,173,4,1,NA,193,0.35
388,2,0,2,163,3,NA,194,0.35
390,2,0,21,1,57,NA,195,0.35
392,2,0,184,18,2,NA,196,0.35
394,2,0,24,169,9,NA,197,0.35
396,2,0,71,20,7,NA,198,0.35
398,2,0,19,54,2,NA,199,0.35
400,2,0,11,12,27,NA,200,0.35
402,2,0,189,11,1,NA,201,0.35
404,2,0,3,156,8,NA,202,0.35
406,2,0,62,3,9,NA,203,0.35
408,2,0,23,58,0,NA,204,0.35
410,2,0,0,14,58,NA,205,0.35
412,2,0,267,0,2,NA,206,0.35
414,2,0,7,230,0,NA,207,0.35
416,2,0,0,4,230,NA,208,0.35
418,2,0,44,0,9,NA,209,0.35
420,2,0,33,37,0,NA,210,0.35
422,2,0,0,29,37,NA,211,0.35
424,2,0,219,0,1,NA,212,0.35
0,13,0,250,5,100,NA,0,0.35
2,13,0,11,210,4,NA,1,0.35
4,13,0,30,10,52,NA,2,0.35
6,13,0,163,21,2,NA,3,0.35
8,13,0,3,129,10,NA,4,0.35
10,13,0,123,2,4,NA,5,0.35
12,13,0,7,113,0,NA,6,0.35
14,13,0,11,6,113,NA,7,0.35
16,13,0,233,8,5,NA,8,0.35
18,13,0,2,200,1,NA,9,0.35
20,13,0,14,1,141,NA,10,0.35
22,13,0,226,13,6,NA,11,0.35
24,13,0,0,201,2,NA,12,0.35
26,13,0,33,1,100,NA,13,0.35
28,13,0,193,21,4,NA,14,0.35
30,13,0,0,153,5,NA,15,0.35
32,13,0,53,0,27,NA,16,0.35
34,13,0,82,37,1,NA,17,0.35
36,13,0,0,61,26,NA,18,0.35
38,13,0,177,0,1,NA,19,0.35
40,13,0,0,134,0,NA,20,0.35
42,13,0,0,0,134,NA,21,0.35
44,13,0,197,0,5,NA,22,0.35
46,13,0,3,159,0,NA,23,0.35
48,13,0,0,3,159,NA,24,0.35
50,13,0,137,0,6,NA,25,0.35
52,13,0,2,106,0,NA,26,0.35
54,13,0,0,1,106,NA,27,0.35
56,13,0,253,1,6,NA,28,0.35
58,13,0,1,200,0,NA,29,0.35
60,13,0,4,0,200,NA,30,0.35
62,13,0,89,3,8,NA,31,0.35
64,13,0,17,69,0,NA,32,0.35
66,13,0,0,16,69,NA,33,0.35
68,13,0,324,0,3,NA,34,0.35
70,13,0,0,279,0,NA,35,0.35
72,13,0,0,0,279,NA,36,0.35
74,13,0,92,0,11,NA,37,0.35
76,13,0,28,76,0,NA,38,0.35
78,13,0,0,26,76,NA,39,0.35
80,13,0,279,0,3,NA,40,0.35
82,13,0,4,256,0,NA,41,0.35
84,13,0,0,3,256,NA,42,0.35
86,13,0,51,0,10,NA,43,0.35
88,13,0,27,42,0,NA,44,0.35
90,13,0,0,27,42,NA,45,0.35
92,13,0,343,0,2,NA,46,0.35
94,13,0,5,306,0,NA,47,0.35
96,13,0,0,4,306,NA,48,0.35
98,13,0,7,0,12,NA,49,0.35
100,13,0,292,5,0,NA,50,0.35
102,13,0,0,289,5,NA,51,0.35
104,13,0,47,0,50,NA,52,0.35
106,13,0,93,46,2,NA,53,0.35
108,13,0,6,86,23,NA,54,0.35
110,13,0,236,7,1,NA,55,0.35
112,13,0,0,177,5,NA,56,0.35
114,13,0,12,0,31,NA,57,0.35
116,13,0,249,13,1,NA,58,0.35
118,13,0,2,241,9,NA,59,0.35
120,13,0,58,3,10,NA,60,0.35
122,13,0,41,48,0,NA,61,0.35
124,13,0,0,32,48,NA,62,0.35
126,13,0,196,0,2,NA,63,0.35
128,13,0,0,153,0,NA,64,0.35
130,13,0,0,1,153,NA,65,0.35
132,13,0,86,0,6,NA,66,0.35
134,13,0,14,79,0,NA,67,0.35
136,13,0,11,14,79,NA,68,0.35
138,13,0,84,9,3,NA,69,0.35
140,13,0,8,81,3,NA,70,0.35
142,13,0,22,11,28,NA,71,0.35
144,13,0,172,24,1,NA,72,0.35
146,13,0,0,107,17,NA,73,0.35
148,13,0,133,0,1,NA,74,0.35
150,13,0,0,110,0,NA,75,0.35
152,13,0,0,0,110,NA,76,0.35
154,13,0,183,0,4,NA,77,0.35
156,13,0,11,149,0,NA,78,0.35
158,13,0,0,11,149,NA,79,0.35
160,13,0,132,1,6,NA,80,0.35
162,13,0,7,126,0,NA,81,0.35
164,13,0,0,3,126,NA,82,0.35
166,13,0,204,1,5,NA,83,0.35
168,13,0,3,151,0,NA,84,0.35
170,13,0,0,3,151,NA,85,0.35
172,13,0,98,0,6,NA,86,0.35
174,13,0,22,85,0,NA,87,0.35
176,13,0,0,16,85,NA,88,0.35
178,13,0,169,0,3,NA,89,0.35
180,13,0,16,138,0,NA,90,0.35
182,13,0,0,16,138,NA,91,0.35
184,13,0,104,1,6,NA,92,0.35
186,13,0,10,89,0,NA,93,0.35
188,13,0,0,9,89,NA,94,0.35
190,13,0,151,0,4,NA,95,0.35
192,13,0,4,134,0,NA,96,0.35
194,13,0,0,4,134,NA,97,0.35
196,13,0,162,0,5,NA,98,0.35
198,13,0,2,153,0,NA,99,0.35
200,13,0,0,1,153,NA,100,0.35
202,13,0,184,0,6,NA,101,0.35
204,13,0,8,172,0,NA,102,0.35
206,13,0,0,7,172,NA,103,0.35
208,13,0,94,0,7,NA,104,0.35
210,13,0,13,77,0,NA,105,0.35
212,13,0,0,8,77,NA,106,0.35
214,13,0,219,0,3,NA,107,0.35
216,13,0,0,196,0,NA,108,0.35
218,13,0,0,0,196,NA,109,0.35
220,13,0,121,0,8,NA,110,0.35
222,13,0,13,101,0,NA,111,0.35
224,13,0,0,12,101,NA,112,0.35
226,13,0,237,0,4,NA,113,0.35
228,13,0,3,231,0,NA,114,0.35
230,13,0,0,3,231,NA,115,0.35
232,13,0,137,0,9,NA,116,0.35
234,13,0,34,137,0,NA,117,0.35
236,13,0,0,31,137,NA,118,0.35
238,13,0,253,0,5,NA,119,0.35
240,13,0,0,251,0,NA,120,0.35
242,13,0,0,3,251,NA,121,0.35
244,13,0,99,0,10,NA,122,0.35
246,13,0,22,84,0,NA,123,0.35
248,13,0,0,17,84,NA,124,0.35
250,13,0,311,0,3,NA,125,0.35
252,13,0,3,299,0,NA,126,0.35
254,13,0,0,2,299,NA,127,0.35
256,13,0,81,0,12,NA,128,0.35
258,13,0,33,75,0,NA,129,0.35
260,13,0,0,26,75,NA,130,0.35
262,13,0,286,0,3,NA,131,0.35
264,13,0,0,257,0,NA,132,0.35
266,13,0,0,0,257,NA,133,0.35
268,13,0,109,0,10,NA,134,0.35
270,13,0,6,108,0,NA,135,0.35
272,13,0,0,6,108,NA,136,0.35
274,13,0,291,0,4,NA,137,0.35
276,13,0,0,263,0,NA,138,0.35
278,13,0,0,0,263,NA,139,0.35
280,13,0,112,0,11,NA,140,0.35
282,13,0,22,103,0,NA,141,0.35
284,13,0,0,22,103,NA,142,0.35
286,13,0,238,0,4,NA,143,0.35
288,13,0,3,194,0,NA,144,0.35
290,13,0,0,3,194,NA,145,0.35
292,13,0,171,0,8,NA,146,0.35
294,13,0,13,136,0,NA,147,0.35
296,13,0,0,15,136,NA,148,0.35
298,13,0,263,0,5,NA,149,0.35
300,13,0,2,218,0,NA,150,0.35
302,13,0,0,1,218,NA,151,0.35
304,13,0,86,0,8,NA,152,0.35
306,13,0,34,63,0,NA,153,0.35
308,13,0,0,37,63,NA,154,0.35
310,13,0,297,0,3,NA,155,0.35
312,13,0,2,244,0,NA,156,0.35
314,13,0,0,3,244,NA,157,0.35
316,13,0,78,0,10,NA,158,0.35
318,13,0,17,71,0,NA,159,0.35
320,13,0,0,13,71,NA,160,0.35
322,13,0,343,0,3,NA,161,0.35
324,13,0,0,341,0,NA,162,0.35
326,13,0,0,0,341,NA,163,0.35
328,13,0,31,0,14,NA,164,0.35
330,13,0,63,30,1,NA,165,0.35
332,13,0,3,52,21,NA,166,0.35
334,13,0,178,2,1,NA,167,0.35
336,13,0,3,157,1,NA,168,0.35
338,13,0,7,2,111,NA,169,0.35
340,13,0,211,8,4,NA,170,0.35
342,13,0,6,162,2,NA,171,0.35
344,13,0,27,6,80,NA,172,0.35
346,13,0,113,27,3,NA,173,0.35
348,13,0,7,93,9,NA,174,0.35
350,13,0,82,6,4,NA,175,0.35
352,13,0,13,68,1,NA,176,0.35
354,13,0,17,12,48,NA,177,0.35
356,13,0,80,17,2,NA,178,0.35
358,13,0,23,53,8,NA,179,0.35
360,13,0,41,21,3,NA,180,0.35
362,13,0,16,30,7,NA,181,0.35
364,13,0,46,13,3,NA,182,0.35
366,13,0,19,38,5,NA,183,0.35
368,13,0,39,19,7,NA,184,0.35
370,13,0,32,38,2,NA,185,0.35
372,13,0,17,31,19,NA,186,0.35
374,13,0,81,15,1,NA,187,0.35
376,13,0,6,63,11,NA,188,0.35
378,13,0,84,6,1,NA,189,0.35
380,13,0,6,79,4,NA,190,0.35
382,13,0,27,5,19,NA,191,0.35
384,13,0,81,24,1,NA,192,0.35
386,13,0,6,58,17,NA,193,0.35
388,13,0,133,6,1,NA,194,0.35
390,13,0,4,117,4,NA,195,0.35
392,13,0,23,3,29,NA,196,0.35
394,13,0,167,18,1,NA,197,0.35
396,13,0,2,154,13,NA,198,0.35
398,13,0,126,2,3,NA,199,0.35
400,13,0,6,116,1,NA,200,0.35
402,13,0,7,6,82,NA,201,0.35
404,13,0,306,6,3,NA,202,0.35
406,13,0,3,254,2,NA,203,0.35
408,13,0,39,3,126,NA,204,0.35
410,13,0,133,29,5,NA,205,0.35
412,13,0,3,110,5,NA,206,0.35
414,13,0,31,0,19,NA,207,0.35
416,13,0,82,31,1,NA,208,0.35
418,13,0,2,69,22,NA,209,0.35
420,13,0,173,1,1,NA,210,0.35
422,13,0,2,153,1,NA,211,0.35
424,13,0,4,2,108,NA,212,0.35
0,22,0,250,5,100,NA,0,0.35
2,22,0,8,214,4,NA,1,0.35
4,22,0,41,7,53,NA,2,0.35
6,22,0,141,33,2,NA,3,0.35
8,22,0,12,114,16,NA,4,0.35
10,22,0,143,9,1,NA,5,0.35
12,22,0,0,133,6,NA,6,0.35
14,22,0,86,0,16,NA,7,0.35
16,22,0,71,74,1,NA,8,0.35
18,22,0,14,59,52,NA,9,0.35
20,22,0,177,12,2,NA,10,0.35
22,22,0,6,153,6,NA,11,0.35
24,22,0,49,7,19,NA,12,0.35
26,22,0,87,36,1,NA,13,0.35
28,22,0,0,67,25,NA,14,0.35
30,22,0,306,0,1,NA,15,0.35
32,22,0,0,252,0,NA,16,0.35
34,22,0,0,0,252,NA,17,0.35
36,22,0,96,0,10,NA,18,0.35
38,22,0,5,72,0,NA,19,0.35
40,22,0,0,4,72,NA,20,0.35
42,22,0,187,0,3,NA,21,0.35
44,22,0,0,144,0,NA,22,0.35
46,22,0,0,1,144,NA,23,0.35
48,22,0,229,1,6,NA,24,0.35
50,22,0,6,184,0,NA,25,0.35
52,22,0,0,3,184,NA,26,0.35
54,22,0,227,0,7,NA,27,0.35
56,22,0,0,176,0,NA,28,0.35
58,22,0,0,0,176,NA,29,0.35
60,22,0,182,0,7,NA,30,0.35
62,22,0,6,142,0,NA,31,0.35
64,22,0,0,6,142,NA,32,0.35
66,22,0,144,0,6,NA,33,0.35
68,22,0,8,119,0,NA,34,0.35
70,22,0,0,8,119,NA,35,0.35
72,22,0,273,0,5,NA,36,0.35
74,22,0,3,231,0,NA,37,0.35
76,22,0,0,3,231,NA,38,0.35
78,22,0,173,0,9,NA,39,0.35
80,22,0,8,152,0,NA,40,0.35
82,22,0,0,7,152,NA,41,0.35
84,22,0,189,0,6,NA,42,0.35
86,22,0,8,179,0,NA,43,0.35
88,22,0,0,4,179,NA,44,0.35
90,22,0,122,0,7,NA,45,0.35
92,22,0,7,106,0,NA,46,0.35
94,22,0,0,6,106,NA,47,0.35
96,22,0,126,0,4,NA,48,0.35
98,22,0,21,106,0,NA,49,0.35
100,22,0,0,18,106,NA,50,0.35
102,22,0,178,0,4,NA,51,0.35
104,22,0,7,136,0,NA,52,0.35
106,22,0,0,6,136,NA,53,0.35
108,22,0,192,0,5,NA,54,0.35
110,22,0,0,185,0,NA,55,0.35
112,22,0,0,0,185,NA,56,0.35
114,22,0,97,0,7,NA,57,0.35
116,22,0,14,77,0,NA,58,0.35
118,22,0,3,13,77,NA,59,0.35
120,22,0,144,4,3,NA,60,0.35
122,22,0,1,118,1,NA,61,0.35
124,22,0,0,2,83,NA,62,0.35
126,22,0,211,1,3,NA,63,0.35
128,22,0,3,203,0,NA,64,0.35
130,22,0,0,3,203,NA,65,0.35
132,22,0,66,0,8,NA,66,0.35
134,22,0,35,58,0,NA,67,0.35
136,22,0,0,29,58,NA,68,0.35
138,22,0,173,0,2,NA,69,0.35
140,22,0,0,147,0,NA,70,0.35
142,22,0,0,0,147,NA,71,0.35
144,22,0,136,0,6,NA,72,0.35
146,22,0,6,120,0,NA,73,0.35
148,22,0,2,6,120,NA,74,0.35
150,22,0,146,1,5,NA,75,0.35
152,22,0,5,119,0,NA,76,0.35
154,22,0,0,5,119,NA,77,0.35
156,22,0,140,0,5,NA,78,0.35
158,22,0,7,122,0,NA,79,0.35
160,22,0,0,5,122,NA,80,0.35
162,22,0,151,0,5,NA,81,0.35
164,22,0,7,144,0,NA,82,0.35
166,22,0,0,5,144,NA,83,0.35
168,22,0,123,2,6,NA,84,0.35
170,22,0,3,99,0,NA,85,0.35
172,22,0,0,3,99,NA,86,0.35
174,22,0,208,0,4,NA,87,0.35
176,22,0,0,194,0,NA,88,0.35
178,22,0,0,0,194,NA,89,0.35
180,22,0,64,0,8,NA,90,0.35
182,22,0,40,59,0,NA,91,0.35
184,22,0,0,20,59,NA,92,0.35
186,22,0,201,0,2,NA,93,0.35
188,22,0,4,163,0,NA,94,0.35
190,22,0,0,4,163,NA,95,0.35
192,22,0,168,0,7,NA,96,0.35
194,22,0,2,156,0,NA,97,0.35
196,22,0,0,1,156,NA,98,0.35
198,22,0,146,0,6,NA,99,0.35
200,22,0,21,115,0,NA,100,0.35
202,22,0,0,19,115,NA,101,0.35
204,22,0,201,0,5,NA,102,0.35
206,22,0,3,181,0,NA,103,0.35
208,22,0,0,3,181,NA,104,0.35
210,22,0,111,3,7,NA,105,0.35
212,22,0,5,99,0,NA,106,0.35
214,22,0,0,5,99,NA,107,0.35
216,22,0,144,0,4,NA,108,0.35
218,22,0,0,121,0,NA,109,0.35
220,22,0,0,0,121,NA,110,0.35
222,22,0,172,0,5,NA,111,0.35
224,22,0,9,147,0,NA,112,0.35
226,22,0,0,9,147,NA,113,0.35
228,22,0,146,0,6,NA,114,0.35
230,22,0,16,130,0,NA,115,0.35
232,22,0,0,11,130,NA,116,0.35
234,22,0,269,0,5,NA,117,0.35
236,22,0,6,221,0,NA,118,0.35
238,22,0,0,7,221,NA,119,0.35
240,22,0,41,0,9,NA,120,0.35
242,22,0,82,40,0,NA,121,0.35
244,22,0,0,73,40,NA,122,0.35
246,22,0,281,0,2,NA,123,0.35
248,22,0,0,253,0,NA,124,0.35
250,22,0,0,0,253,NA,125,0.35
252,22,0,107,0,10,NA,126,0.35
254,22,0,18,93,0,NA,127,0.35
256,22,0,0,18,93,NA,128,0.35
258,22,0,296,0,4,NA,129,0.35
260,22,0,0,264,0,NA,130,0.35
262,22,0,0,0,264,NA,131,0.35
264,22,0,118,0,11,NA,132,0.35
266,22,0,47,113,0,NA,133,0.35
268,22,0,0,41,113,NA,134,0.35
270,22,0,131,0,5,NA,135,0.35
272,22,0,17,128,0,NA,136,0.35
274,22,0,0,15,128,NA,137,0.35
276,22,0,203,0,5,NA,138,0.35
278,22,0,0,183,0,NA,139,0.35
280,22,0,0,0,183,NA,140,0.35
282,22,0,115,0,7,NA,141,0.35
284,22,0,41,106,0,NA,142,0.35
286,22,0,0,37,106,NA,143,0.35
288,22,0,154,0,4,NA,144,0.35
290,22,0,8,125,0,NA,145,0.35
292,22,0,0,8,125,NA,146,0.35
294,22,0,366,0,5,NA,147,0.35
296,22,0,0,312,0,NA,148,0.35
298,22,0,0,0,312,NA,149,0.35
300,22,0,53,0,12,NA,150,0.35
302,22,0,38,46,0,NA,151,0.35
304,22,0,0,31,46,NA,152,0.35
306,22,0,275,0,2,NA,153,0.35
308,22,0,8,269,0,NA,154,0.35
310,22,0,0,6,269,NA,155,0.35
312,22,0,76,0,11,NA,156,0.35
314,22,0,32,62,0,NA,157,0.35
316,22,0,0,31,62,NA,158,0.35
318,22,0,293,0,2,NA,159,0.35
320,22,0,12,273,0,NA,160,0.35
322,22,0,0,9,273,NA,161,0.35
324,22,0,27,0,11,NA,162,0.35
326,22,0,75,24,0,NA,163,0.35
328,22,0,0,71,24,NA,164,0.35
330,22,0,202,0,1,NA,165,0.35
332,22,0,2,174,0,NA,166,0.35
334,22,0,0,2,174,NA,167,0.35
336,22,0,109,0,7,NA,168,0.35
338,22,0,35,97,0,NA,169,0.35
340,22,0,0,29,97,NA,170,0.35
342,22,0,203,0,4,NA,171,0.35
344,22,0,18,156,0,NA,172,0.35
346,22,0,0,13,156,NA,173,0.35
348,22,0,183,0,6,NA,174,0.35
350,22,0,0,169,0,NA,175,0.35
352,22,0,0,0,169,NA,176,0.35
354,22,0,215,0,7,NA,177,0.35
356,22,0,4,175,0,NA,178,0.35
358,22,0,0,3,175,NA,179,0.35
360,22,0,69,0,7,NA,180,0.35
362,22,0,26,51,0,NA,181,0.35
364,22,0,0,23,51,NA,182,0.35
366,22,0,201,0,2,NA,183,0.35
368,22,0,12,193,0,NA,184,0.35
370,22,0,0,10,193,NA,185,0.35
372,22,0,143,0,8,NA,186,0.35
374,22,0,36,83,0,NA,187,0.35
376,22,0,0,33,83,NA,188,0.35
378,22,0,341,0,3,NA,189,0.35
380,22,0,0,312,0,NA,190,0.35
382,22,0,0,0,312,NA,191,0.35
384,22,0,8,0,12,NA,192,0.35
386,22,0,157,8,0,NA,193,0.35
388,22,0,0,149,8,NA,194,0.35
390,22,0,29,0,9,NA,195,0.35
392,22,0,62,29,0,NA,196,0.35
394,22,0,0,55,29,NA,197,0.35
396,22,0,197,0,1,NA,198,0.35
398,22,0,10,184,0,NA,199,0.35
400,22,0,0,9,184,NA,200,0.35
402,22,0,61,0,7,NA,201,0.35
404,22,0,27,60,0,NA,202,0.35
406,22,0,0,14,60,NA,203,0.35
408,22,0,303,0,2,NA,204,0.35
410,22,0,0,248,0,NA,205,0.35
412,22,0,0,0,248,NA,206,0.35
414,22,0,69,0,10,NA,207,0.35
416,22,0,39,58,0,NA,208,0.35
418,22,0,0,32,58,NA,209,0.35
420,22,0,274,0,2,NA,210,0.35
422,22,0,0,236,0,NA,211,0.35
424,22,0,0,0,236,NA,212,0.35
